date,V1
FORTUM FH Equity,0.00191651627187915
FP FP Equity,0
FPE3 GY Equity,0
FR FP Equity,-0.00678142929483207
FRA GY Equity,0
FRE GY Equity,0
FRES LN Equity,0
FTI FP Equity,0
FTSEMIB Index,-0.0178810216439879
G IM Equity,0
G1A GY Equity,0
G24 GY Equity,0
GALP PL Equity,0
GAM SE Equity,0
GAS SQ Equity,0
GBLB BB Equity,0
GEBN SE Equity,0
GEN DC Equity,0
GET FP Equity,0
GETIB SS Equity,0
GFC FP Equity,0
GFS LN Equity,-0.00193372082515718
GIVN SE Equity,0
GJF NO Equity,0
GLB ID Equity,0
GLE FP Equity,0
GLEN LN Equity,0
GLJ GY Equity,0
GLO LN Equity,0.0040544011861471
GLPG NA Equity,0
GN DC Equity,0
GPOR LN Equity,0
GRF SQ Equity,0
GSK LN Equity,0
GTO NA Equity,0
GVC LN Equity,0
GXI GY Equity,0
HAS LN Equity,0.00424558678926476
HEI GY Equity,0.00632144519061378
HEIA NA Equity,0.003749686048276
HEIO NA Equity,0
HELN SE Equity,0
HEN GY Equity,0.00597008223960647
HEN3 GY Equity,0
HEXAB SS Equity,0
HL/ LN Equity,-0.00199374779585966
HLE GY Equity,0
HLMA LN Equity,0
HMB SS Equity,0
HMSO LN Equity,0
HNR1 GY Equity,0
HO FP Equity,0
HOT GY Equity,0
HPOLB SS Equity,0
HSBA LN Equity,-0.00977082097266618
HSV LN Equity,0
HSX LN Equity,0
HUH1V FH Equity,0
HUSQB SS Equity,0
HWDN LN Equity,0
IAG LN Equity,0
IBE SQ Equity,0
IBEX Index,-0.00697195934419726
IBST LN Equity,0.00309881874387882
ICA SS Equity,0
ICAD FP Equity,0
ICP LN Equity,0
IFX GY Equity,-0.00297781755991547
IG IM Equity,0
IGG LN Equity,0
IGY GY Equity,0
IHG LN Equity,0
III LN Equity,0.00279497986943501
ILD FP Equity,0
IMB LN Equity,0
IMCD NA Equity,0
IMI LN Equity,0
INCH LN Equity,0
INDUA SS Equity,0
INDV LN Equity,0
INF LN Equity,0.00306521027334997
ING FP Equity,0
INGA NA Equity,0
INTU LN Equity,0
INVEB SS Equity,0
INVP LN Equity,0
IPN FP Equity,0
ISAT LN Equity,0
ISP IM Equity,0
ISS DC Equity,0
ITRK LN Equity,-0.00638079488589069
ITV LN Equity,0
ITX SM Equity,0.00721222958479851
ITX SQ Equity,0
IWG LN Equity,0
JDW LN Equity,-0.00280239531679118
JE/ LN Equity,0
JMAT LN Equity,0.00656956847867415
JMT PL Equity,0
JUP LN Equity,0
JYSK DC Equity,0
KAZ LN Equity,0.00309307957026638
KBC BB Equity,0
KCR FH Equity,0
KER FP Equity,-0.00144275741463127
KESKOB FH Equity,0
KGF LN Equity,0
KGX GY Equity,0
KINDSDB SS Equity,0
KINVB SS Equity,0
KN FP Equity,0
KNEBV FH Equity,0
KNIN SE Equity,0
KOMB CK Equity,0
KPN NA Equity,0
KSP ID Equity,-0.00155339776420357
KYG ID Equity,-0.00240578897329451
LAND LN Equity,0.00815926831500375
LBK SM Equity,0.0136458063218097
LDO IM Equity,0
LEG GY Equity,0
LGEN LN Equity,-0.00399009884080688
LHA GY Equity,0
LHN FP Equity,-0.00689862631921494
LHN SE Equity,0
LI FP Equity,0
LIGHT NA Equity,0
LINU GY Equity,0.00609007958471335
LISN SE Equity,0
LLOY LN Equity,-0.0072308185522806
LOGN SE Equity,0
LONN SE Equity,0
LOOMB SS Equity,0
LR FP Equity,0
LSE LN Equity,0.00693586724559609
LUN DC Equity,0
LUNDB SS Equity,0
LUPE SS Equity,-0.00206168174162572
LUX IM Equity,0
LXS GY Equity,0
MAERSKB DC Equity,0
MAN GY Equity,0
MAP SM Equity,0.00509121126645444
MAP SQ Equity,0
MB IM Equity,0
MC FP Equity,0
MCRO LN Equity,0
MCX Index,-0.0452017058698775
MDAX Index,-0.00347099237471833
MDC LN Equity,0
MERL LN Equity,0
METSO FH Equity,0.00360705244329782
MF FP Equity,0.0139127262089632
MGGT LN Equity,0
MHG NO Equity,0
MKS LN Equity,0
ML FP Equity,0
MMB FP Equity,0
MNDI LN Equity,0.00883267704583712
MONC IM Equity,0.0044574057644715
MONY LN Equity,0
MOR GY Equity,0
MRK GY Equity,-0.000627949968536537
MRL SM Equity,0.0101743131340905
MRL SQ Equity,0
MRO LN Equity,0.00819296084929605
MRW LN Equity,-0.00305892103116639
MT NA Equity,-0.000818717594885651
MTRO LN Equity,0
MTX GY Equity,0
MUV2 GY Equity,0
NDA GY Equity,0
NDA SS Equity,0.0127109657198321
NDX Index,-0.0220489078680099
NESN SE Equity,0
NESTE FH Equity,0.00464895787271113
NG/ LN Equity,0
NHY NO Equity,0
NIBEB SS Equity,0
NK FP Equity,0
NMC LN Equity,0
NN NA Equity,0
NOKIA FH Equity,0
NOVN SE Equity,0
NOVOB DC Equity,0
NRE1V FH Equity,0
NXG LN Equity,0.00954860350316307
NXI FP Equity,0.00387962425041456
NXT LN Equity,0
NZYMB DC Equity,0
O2D GY Equity,0
OCDO LN Equity,0
OERL SE Equity,0
OMU LN Equity,0
OMV AV Equity,0
OR FP Equity,0
ORA FP Equity,0
ORK NO Equity,0
ORNBV FH Equity,0
ORP FP Equity,0
ORSTED DC Equity,0
OSR GY Equity,0
PAH3 GY Equity,0
PARG SE Equity,0
PGHN SE Equity,0
PHIA NA Equity,0
PHNX LN Equity,0
PIRC IM Equity,0
PLUS LN Equity,0.00476588995282453
PNDORA DC Equity,0
PNN LN Equity,0
POLY LN Equity,0
POM FP Equity,0
PPB ID Equity,0
PPB LN Equity,0
PROX BB Equity,0
PRSM LN Equity,0.0034777510061665
PRU LN Equity,0.0120880709992067
PRY IM Equity,0
PSM GY Equity,0
PSN LN Equity,-0.00901748372026478
PSON LN Equity,0
PSPN SE Equity,0
PST IM Equity,0
PTEC LN Equity,0
PUB FP Equity,0
QIA GY Equity,0
QLT LN Equity,0
RACE IM Equity,0
RAND NA Equity,-0.00305875647510219
RB/ LN Equity,0
RBI AV Equity,0
RBREW DC Equity,0
RBS LN Equity,0.0178013702182815
RCO FP Equity,0
RDSA LN Equity,0.0151330467273082
RDSA NA Equity,-0.00412938530756797
RDSB LN Equity,-0.0152336482438321
REC IM Equity,0.000780856583554937
REE SQ Equity,0
REL LN Equity,0
REN NA Equity,0
REP SQ Equity,0
RF FP Equity,0
RHIM LN Equity,0.00227626799606801
RHM GY Equity,0
RI FP Equity,0
RIO LN Equity,-0.00556913564353236
RMG LN Equity,0
RMS FP Equity,0
RMV LN Equity,0
RNO FP Equity,0
ROCKB DC Equity,0
ROG SE Equity,0
ROR LN Equity,0
RPC LN Equity,0
RR/ LN Equity,0.00428293519481581
RRS LN Equity,0
RRTL GY Equity,0
RSA LN Equity,0.0132041026592248
RTO LN Equity,0
RUI FP Equity,0
RUKM150 Index,-0.00861882362126411
RWE GY Equity,0
RXL FP Equity,0
RYA ID Equity,0
SAABB SS Equity,0
SAB SM Equity,0.0117444464829586
SAB SQ Equity,0
SAF FP Equity,0
SAMPO FH Equity,0
SAN FP Equity,0
SAN SM Equity,0.00756846087292995
SAN SQ Equity,0
SAND SS Equity,0
SAP GY Equity,0
SBMO NA Equity,0
SBRY LN Equity,-0.00315190193522718
SCAB SS Equity,0
SCHA NO Equity,0
SCHP SE Equity,0
SCMN SE Equity,0
SCR FP Equity,0
SDF GY Equity,0
SDR LN Equity,-0.015381499148811
SDRC LN Equity,0.0120044210438294
SEBA SS Equity,0
SECUB SS Equity,0
SESG FP Equity,0
SEV FP Equity,0
SGE LN Equity,0
SGO FP Equity,0
SGRE SQ Equity,0
SGRO LN Equity,0
SGSN SE Equity,0
SHA GY Equity,0
SHBA SS Equity,0
SHL GY Equity,0
SHP LN Equity,0.00411049434602878
SIE GY Equity,0.00619251547271132
SIGB LN Equity,0.00231428644130258
SIGC LN Equity,0.00418382929372819
SIKA SE Equity,0
SIM DC Equity,0
SK FP Equity,0
SKAB SS Equity,0
SKFB SS Equity,0
SKG ID Equity,0
SKG LN Equity,0
SKY LN Equity,0
SLA LN Equity,0.0103817613634232
SLHN SE Equity,0
SMDS LN Equity,0
SMIN LN Equity,-0.00382564759385945
SMS LN Equity,0.00243004341858606
SMT LN Equity,0
SMWH LN Equity,0
SN/ LN Equity,0
SOBI SS Equity,0
SOLB BB Equity,0
SOON SE Equity,0
SOP FP Equity,0
SOW GY Equity,0
SOX Index,-0.00635174011354162
SPIE FP Equity,0.00240338089253337
SPM IM Equity,0
SPR GY Equity,0
SPSN SE Equity,0
SPX LN Equity,0
SRCG SE Equity,0
SREN SE Equity,0
SRG IM Equity,0
SRT3 GY Equity,0
SSE LN Equity,0
SSPG LN Equity,0.00482517452786755
STAN LN Equity,0
STB NO Equity,0
STERV FH Equity,0
STJ LN Equity,0
STM IM Equity,0
STMN SE Equity,0
SU FP Equity,0
SUBC NO Equity,0.00283011484874165
SVT LN Equity,0
SW FP Equity,0
SWEDA SS Equity,-0.00402711387394712
SWMA SS Equity,0
SX3E Index,-0.00411484233694715
SX3P Index,-0.00129911966633733
SX4E Index,-0.00399545819092338
SX5E Index,-0.0331117033596471
SX6E Index,0.00500691423998556
SX7E Index,-0.00834228395469003
SXAP Index,-0.0159808418045976
SXDP Index,-0.00413610612079661
SXIE Index,-0.00336680278127125
SXIP Index,-0.0133544122284001
SXKP Index,-0.00150026228386909
SXMP Index,-0.0167693175689253
SXNP Index,-0.0189838287657022
SXOP Index,-0.00615393872979784
SXQE Index,-0.0298891554847737
SXS LN Equity,0
SY1 GY Equity,0
SYDB DC Equity,0
TATE LN Equity,0
TCAP LN Equity,0.00662570142056987
TECN SE Equity,0
TEF SQ Equity,0
TEG GY Equity,0
TEL NO Equity,0
TEL2B SS Equity,0
TELIA SS Equity,0
TEMN SE Equity,0
TEN IM Equity,0.0108211784322558
TEP FP Equity,0
TGS NO Equity,0
TIT IM Equity,0
TITR IM Equity,0.00210375793210491
TKA GY Equity,0
TLW LN Equity,0
TMO LN Equity,0.00329602128102912
TNET BB Equity,0
TPK LN Equity,0
TPZ SM Equity,0.00253182399572289
TRELB SS Equity,0
TRN IM Equity,0
TRYG DC Equity,0
TSCO LN Equity,0.011703909870571
TUI LN Equity,0
TW/ LN Equity,-0.00508295770928067
UBI FP Equity,0
UBI IM Equity,0
UBSG SE Equity,0
UCB BB Equity,0
UCG IM Equity,0
UDG LN Equity,0
UG FP Equity,0
UHR SE Equity,0
UHR SW Equity,-0.00145598999409311
UKX Index,-0.0792538244368862
ULVR LN Equity,0
UMI BB Equity,0
UN01 GY Equity,0
UNA NA Equity,0
UPM FH Equity,0
URW NA Equity,-0.00187140462984045
UTDI GY Equity,0
UU/ LN Equity,0
VACN SE Equity,0
VCT LN Equity,0
VIE FP Equity,0
VIFN SE Equity,0
VIS SQ Equity,0
VIV FP Equity,0.0154733900760106
VNA GY Equity,0
VOD LN Equity,0.00576905853557591
VOE AV Equity,0
VOLVB SS Equity,0
VOW3 GY Equity,0.00666748939005397
VPK NA Equity,0
VWS DC Equity,0
WAF GY Equity,0.0139844991266733
WCH GY Equity,0
WDH DC Equity,0
WDI GY Equity,0
WEIR LN Equity,0
WG/ LN Equity,0
WIE AV Equity,0
WKL NA Equity,0
WMH LN Equity,0
WPP LN Equity,0
WRT1V FH Equity,0
WTB LN Equity,0
YAR NO Equity,0
ZAL GY Equity,-0.000997963101254511
ZURN SE Equity,0
