Pair,Ticker,Outright,LookThrough,Sector,SuperSector,Industry,Return,SuperSectorIndex,SuperSectorIndexReturn
ABC9,VOD LN Equity,0,-0.5,Mobile Telecommunications,Telecommunications,Telecommunications,-0.5681818,SXKP Index,-0.4873369
ABC9,VSVS LN Equity,0,-0.1,General Industrials,Industrial Goods & Services,Industrials,0.2575107,SXNP Index,1.163616
ABC9,WEIR LN Equity,0,-0.2,Industrial Engineering,Industrial Goods & Services,Industrials,1.994446,SXNP Index,1.163616
ABC9,WG/ LN Equity,0,-0.2,"Oil Equipment, Services & Distribution",Oil & Gas,Oil & Gas,2.634084,SXEP Index,1.379135
ABC9,WIZZ LN Equity,0,-0.1,Travel & Leisure,Travel & Leisure,Consumer Services,-0.2179836,SXTP Index,0.5615551
ABC9,WKP LN Equity,0,-0.1,Real Estate Investment Trusts,Real Estate,Financials,0.9433962,SX86P Index,0.4804201
ABC9,WMH LN Equity,0,-0.1,Travel & Leisure,Travel & Leisure,Consumer Services,1.664402,SXTP Index,0.5615551
ABC9,WPP LN Equity,0,-0.1,Media,Media,Consumer Services,1.445684,SXMP Index,0.9075618
ABC9,WTAN LN Equity,0,-0.1,Equity Investment Instruments,Financial Services,Financials,0,SXFP Index,-0.1056954
ABC9,WTB LN Equity,0,-0.1,Travel & Leisure,Travel & Leisure,Consumer Services,-0.1494024,SXTP Index,0.5615551
ABC9,WWH LN Equity,0,-0.1,Equity Investment Instruments,Financial Services,Financials,-0.5454546,SXFP Index,-0.1056954
ABC9,ZPG LN Equity,0,-0.1,Media,Media,Consumer Services,0.2043318,SXMP Index,0.9075618
AC101,CARLB DC Equity,-51.2,0,Beverages,Food & Beverage,Consumer Goods,0.4371304,SX3P Index,0.2192515
AC101,HEIA NA Equity,48.4,0,Beverages,Food & Beverage,Consumer Goods,-0.1593082,SX3P Index,0.2192515
AC102,AAL LN Equity,0,-0.3,Mining,Basic Resources,Basic Materials,-0.8402394,SXPP Index,-0.2781055
AC102,ABF LN Equity,0,-0.2,Food Producers,Food & Beverage,Consumer Goods,-0.03982477,SX3P Index,0.2192515
AC102,ADM LN Equity,0,-0.1,Nonlife Insurance,Insurance,Financials,0.9303562,SXIP Index,0.0144087
AC102,AHT LN Equity,0,-0.2,Support Services,Industrial Goods & Services,Industrials,1.125054,SXNP Index,1.163616
AC102,ANTO LN Equity,0,-0.1,Mining,Basic Resources,Basic Materials,-0.6762295,SXPP Index,-0.2781055
AC102,AV/ LN Equity,0,-0.4,Life Insurance,Insurance,Financials,-0.1203369,SXIP Index,0.0144087
AC102,AZN LN Equity,0,-1.2,Pharmaceuticals & Biotechnology,Health Care,Health Care,0.4947669,SXDP Index,0.646873
AC102,BA/ LN Equity,0,-0.4,Aerospace & Defense,Industrial Goods & Services,Industrials,0.496124,SXNP Index,1.163616
AC102,BARC LN Equity,0,-0.6,Banks,Banks,Financials,-1.0086,SX7P Index,-0.6109482
AC102,BATS LN Equity,0,-1.6,Tobacco,Personal & Household Goods,Consumer Goods,-0.70716,SXQP Index,0.5819758
AC102,BDEV LN Equity,0,-0.1,Household Goods & Home Construction,Personal & Household Goods,Consumer Goods,-0.2272258,SXQP Index,0.5819758
AC102,BKG LN Equity,0,-0.1,Household Goods & Home Construction,Personal & Household Goods,Consumer Goods,-0.1397429,SXQP Index,0.5819758
AC102,BLND LN Equity,0,-0.1,Real Estate Investment Trusts,Real Estate,Financials,-0.3623188,SX86P Index,0.4804201
AC102,BLT LN Equity,0,-0.7,Mining,Basic Resources,Basic Materials,-0.03512469,SXPP Index,-0.2781055
AC102,BNZL LN Equity,0,-0.1,Support Services,Industrial Goods & Services,Industrials,-0.04361099,SXNP Index,1.163616
