date,V1
FNTN GY Equity,0
FORTUM FH Equity,0.00194896973767832
FP FP Equity,0
FPE3 GY Equity,0
FR FP Equity,-0.00662491319032705
FRA GY Equity,0
FRE GY Equity,0
FRES LN Equity,0
FTI FP Equity,0
FTSEMIB Index,-0.021903689800318
G IM Equity,0
G1A GY Equity,0
G24 GY Equity,0
GALP PL Equity,0
GAM SE Equity,0
GBLB BB Equity,0
GEBN SE Equity,0
GEN DC Equity,0
GET FP Equity,0
GETIB SS Equity,0
GFC FP Equity,0
GFS LN Equity,-0.00189387104115174
GIVN SE Equity,0
GJF NO Equity,0
GLB ID Equity,0
GLE FP Equity,0
GLEN LN Equity,0
GLJ GY Equity,0
GLO LN Equity,0.00392116159351887
GLPG NA Equity,0
GN DC Equity,0
GPOR LN Equity,0
GRF SQ Equity,0
GSK LN Equity,0
GTO NA Equity,0
GVC LN Equity,0
GXI GY Equity,0
HAS LN Equity,0.00414092726366957
HEI GY Equity,0.00624241116017303
HEIA NA Equity,0.00477854487918578
HEIO NA Equity,0
HELN SE Equity,0
HEN GY Equity,0.00595758541300683
HEN3 GY Equity,0
HEXAB SS Equity,0
HL/ LN Equity,-0.00197200576616519
HLE GY Equity,0
HLMA LN Equity,0
HMB SS Equity,0
HMSO LN Equity,0
HNR1 GY Equity,0
HO FP Equity,0
HOT GY Equity,0
HPOLB SS Equity,0
HSBA LN Equity,-0.0126363165231659
HSV LN Equity,0
HSX LN Equity,0
HUH1V FH Equity,0
HUSQB SS Equity,0
HWDN LN Equity,0
IAG LN Equity,0
IBE SQ Equity,0
IBEX Index,-0.00694488280717211
IBST LN Equity,0.00304433069203165
ICA SS Equity,0
ICAD FP Equity,0
ICP LN Equity,0
IFX GY Equity,-0.00390534048310326
IG IM Equity,0
IGG LN Equity,0
IGY GY Equity,0
IHG LN Equity,0
III LN Equity,0.00187671267465432
ILD FP Equity,0
IMB LN Equity,0
IMCD NA Equity,0
IMI LN Equity,0
INCH LN Equity,0
INDUA SS Equity,0
INDV LN Equity,0
INF LN Equity,0.00305856992513127
ING FP Equity,0
INGA NA Equity,0
INTU LN Equity,0
INVEB SS Equity,0
INVP LN Equity,0
IPN FP Equity,0
ISAT LN Equity,0
ISP IM Equity,0
ISS DC Equity,0
ITRK LN Equity,-0.00625897473993505
ITV LN Equity,0
ITX SM Equity,0.00723407204138423
ITX SQ Equity,0
IWG LN Equity,0
JDW LN Equity,-0.00271920373533939
JE/ LN Equity,0
