date,ABC1,ABC11,ABC23,ABC24,ABC27,ABC28,ABC29,ABC32,ABC33,ABC34,ABC35,ABC36,ABC37,ABC38,ABC5,ABC6,ABC7,ABC8,ABC9,AC101,AC102,AC104,AC106,AC107,AC108,AC111,AC53,AC57,AC67,AC71,AC94,AC95,AC96,AC98,AC99,DH16,DH32,DH38,DH42,DH48,DH51,DH52,DH56,DH58,DH59,DH61,GJ13,GJ15,GJ16,GJ17,GJ18,GJ19,GJ22,GJ4,GJ7,GJ9,IB113,JR10,JR14,JR15,JR16,JR17,JR18,JR22,JR28,JR32,JR33,JR5,MC110,MC114,MC122,MC127,MC129,MC130,MC132,MC133,MC140,MC143,MC145,MC148,MC149,MC151,MC152,MC53,MC79,MC89
2016-07-11,0.000207730440482842,0,4.36614517816781e-05,0.000396265887610581,0.00014343482200111,0,0.000158509165561066,3.39146497731797e-05,0.000218412852568239,0.000128937740655802,9.97437184892906e-05,0.000108466443344207,0.000198645638605727,-6.43723212963269e-05,0.000249061541240053,0.000112328293735964,3.05993041760625e-05,8.91755917740795e-05,0.000451369861232886,2.86657480027262e-05,-1.9658596542592e-05,0.000230664684537011,7.69127928203826e-05,0.000156155332447897,5.19448961890995e-05,3.16391788519132e-05,-7.36960048107552e-06,0.000386730061964974,0.000151474625414026,3.90770372958487e-06,0.000215274998542366,0.00022640329300558,0.000272009343133792,0.000217675390822993,0.000216618800149761,0.000148937911803125,7.06568895344495e-06,0.000220075102246791,0.000117853152102254,2.27687814471613e-05,0.000135073895736782,0.000156525718623732,0.000102087099710029,0.000166506224374655,0.000236091555975152,8.59491908286458e-05,0.000319158218174603,6.42499940706727e-05,3.55422213446721e-05,0.000299586066310271,0.000276441645688201,-0.000281270559517291,0.000257629718249932,0.000303005502823215,0.000272515752258348,0.000336152056000147,0.000573025603952675,0.00133458397759762,8.11357970924607e-05,0.000214977612632691,-2.64952372730703e-06,0.000131443681813836,0,0.000256179202380408,0.000250401929587171,0.000144078096427766,0.000137357063663057,2.58392596537982e-05,0.00028947074561851,0,8.71077734394351e-05,9.81373403464418e-05,0.000322971549752287,0.000136638392052426,7.71335118458313e-05,0.00015664900938157,3.15572006180862e-05,0.000291200208931486,0.000138593323723819,0,0.000102287681051875,0.000300188069660914,2.41049283791331e-05,0.000264301118212236,0.000957624345325216,0
2016-07-12,2.9459146949425e-05,0,6.18224798362444e-06,0.000237177839466753,2.52552928328371e-05,0,0.000273035214410602,-2.1148686929045e-05,-2.15759796357268e-05,0.000203516603270875,0.000187042288273379,9.31299666714066e-05,0.000211132756061434,0,0.000295191138981077,0.0001242677172495,-1.51943490624756e-05,2.72531326871204e-05,0.000100287153900035,-1.80256654952098e-05,3.17781564822367e-05,6.58968667862754e-05,1.70887907078923e-05,0.000120711187824946,-5.79317053600046e-05,-1.75350434257882e-05,4.79024031269909e-05,-6.15311493948729e-05,0.000118036983445093,-5.17775345799446e-06,0.000133962916981496,0,-6.54379708565119e-05,7.22276179180036e-05,0.000101977429652374,-4.92329888846671e-06,-1.53329154451723e-05,0.000141487930462944,0.000308916173972104,-1.32322134459354e-05,0.000402201555392883,0.000824824950250265,0.000508238479708258,9.83525264083895e-05,4.95936153899248e-05,-2.11398920733825e-05,0.000183119553147945,1.91219763884901e-05,4.27132215913326e-05,0.000115239390250991,2.35772950017163e-05,6.54407713070471e-05,0.000111056860236441,4.26261668272025e-05,1.33832819379378e-05,-5.96372527852902e-05,0.000276606965850678,0.000422495020658138,8.45531070082183e-05,0.000526301032098734,0.000307202531412074,0.000246486970787815,0,0.000206803409656582,0.000260232134340175,0.000423215793377479,0.000532304566075287,7.89678832371491e-06,0.000111659434231785,0,4.27284683299428e-05,4.25486513689279e-05,0.000162632492279682,8.63072846336588e-05,-1.67152540513405e-05,0.000324035073960104,6.95335912706643e-05,-2.17793861422781e-05,5.26157403216602e-05,2.13323918490646e-05,2.41775963643165e-05,4.09551981842177e-05,-5.63085709203513e-05,0.000104191152520201,0.000157746203914819,0
2016-07-13,2.38909785840097e-05,0,0.000109101477077937,-0.000228527661908105,0.000131462074738773,0,-0.000179658792579566,-3.7547985033838e-05,5.19534732513519e-05,7.60173408793799e-05,8.61757408120195e-06,0,-0.000114106418129735,0.000133669559596816,-0.000292092340383623,-9.45528450074436e-07,2.43908132943406e-05,-3.51500785958811e-05,-4.32310641870916e-05,5.86003633777644e-07,2.55673475135079e-05,-3.08963705893611e-05,-7.3665128507791e-06,-6.68663671076929e-06,3.51036644561083e-05,3.92832588809027e-06,-0.000143258221116369,-8.52445015926327e-05,6.36061293662148e-05,-4.35130080863808e-06,3.24926143011766e-05,-2.52308107877658e-05,7.69131705815536e-05,-1.93955651441956e-05,1.67772171176139e-05,5.56782878065147e-05,2.08567469795496e-05,0.000192186996680865,0.000123034088859636,2.02088709439967e-05,-0.000225466955776298,0.000936063571214551,-0.000158388639498029,-0.000292348784522581,-2.53334330220115e-05,8.32632786152506e-05,-0.000101508598836273,6.41195995265073e-05,-7.80052190251006e-05,-7.08792674956811e-05,2.94217272572808e-05,0.00019544334342265,0.000288272671410112,3.93951088735837e-05,0,-0.00019968703084255,-6.75878200622246e-05,-0.000552485715288299,-7.02636888789947e-05,0.00135102520167317,-0.000102593983373278,1.1356360908665e-05,0,-7.59200596274554e-05,-2.6539406500196e-05,4.15925479456832e-05,-0.000231698241909816,-1.0184984361992e-05,0.00032380804166714,0,-4.58072690621732e-05,-3.80230211626264e-05,-0.000168110891197572,4.00059013819439e-05,8.54933837350594e-05,-2.15228045218072e-05,-2.48261029468522e-05,5.46820596394579e-05,-2.44048109876379e-05,0,7.81060923499817e-05,-8.90261146925404e-05,1.70140719066728e-05,-0.000143239557571186,3.78154383977381e-05,0
2016-07-14,0.000105986998068501,0,1.20640502351758e-05,0.000135531984908032,-7.82902170560602e-06,0,0.00017458381757439,-3.03622900076717e-05,3.22213676822504e-05,0.000109451728174661,7.09650035056618e-05,-1.03632061111924e-05,0.000142826104801262,0,0.000737337548449592,6.90697594789593e-05,6.06457674679576e-05,-6.58000013894644e-05,6.2134946183603e-06,4.66865704926982e-06,-4.06578340617783e-05,7.79591484547246e-05,1.05877078936366e-06,4.01886364228741e-05,-6.46172716843882e-05,-9.8059346979223e-06,-3.33644727662138e-05,6.26530015043315e-05,-7.7195332864405e-05,-6.13550593434585e-06,0.000237849593899676,6.95820532305134e-05,-3.26745423619312e-05,4.42153137609206e-05,-0.000183503390387755,0,0,-6.21872698826387e-05,7.83306505103794e-05,-3.65057659782277e-05,0.000363514920269707,0.000328543871236607,0.000209952124417049,0.00012527117376535,6.4725270216387e-05,-4.98086345982126e-05,0.000128844901236995,3.17357309696661e-05,4.34826601173628e-05,8.41615575798077e-05,-1.76188250436042e-05,0.000459715747654596,0.00042313981726564,0.000145846111708105,-0.00023848917473777,0.000607995817557868,9.88782551452157e-05,0.000515380467421437,7.99397386219455e-05,0.000176652601648796,0.000119944939949321,9.35186845046032e-05,0,0.000116769861279757,0.000216683039484617,0.000285658316372761,0.000333588239125675,-1.90660166901954e-05,0.000302694953042304,0,3.94189054672376e-05,4.38938341959189e-06,0.000147620817662873,6.4695454808337e-05,1.74695282067596e-05,-6.82691672841034e-05,-2.86998649248534e-05,-5.41151341867305e-05,-1.79835370108174e-05,0,-3.24097964474111e-05,-2.5365291994274e-05,-4.23539247276389e-05,0.000144442154125348,-0.00035773603135814,0
2016-07-15,1.80650801435538e-05,0,2.13773074318076e-05,3.31652822194246e-05,-7.39142999810636e-05,0,-0.000141156025220785,2.93483359814415e-05,9.1915132429112e-05,8.12253350000421e-06,-6.15730646161362e-05,-2.50907108784901e-05,-6.41237744769795e-05,-1.15230154184725e-05,-2.42604943970195e-05,-5.9801636136713e-05,-7.17815624204736e-05,-0.000140789462788525,-2.17337235672646e-05,-7.57930319720671e-06,-1.02658341448476e-05,2.79465303089323e-05,-3.70339608714375e-06,6.62890760023035e-05,3.39726253347998e-05,-9.85057476483242e-06,1.48630597937658e-05,-7.7716711350903e-06,1.15958165642562e-05,4.42676753163053e-06,0,7.53199564219667e-05,9.40237511165693e-05,-5.18142281361889e-05,7.33848559064441e-05,-2.40898267478557e-05,-3.72059918646179e-05,3.81768208192055e-05,-3.52363855516596e-05,4.81275192954116e-05,-9.3487617157501e-05,-0.000239332494665104,-2.45346801631363e-05,8.25335885944527e-05,5.67997269245845e-05,-6.65204011305923e-05,-8.81618711243869e-06,-3.63187156837146e-05,3.87221502124119e-05,-0.000101396729889655,6.46878867701261e-05,-1.43612437898697e-05,-0.000317892458618707,-4.45483259497519e-05,-3.17076170035853e-05,-9.69512716045019e-06,-2.45184452952678e-05,0.000191003476519277,3.94699295270008e-05,-0.000419624841970756,-9.73160056898556e-05,-8.1141854708125e-05,0,-0.000105150864137203,-0.000130421919610547,9.94067704916904e-05,-0.000201037088285922,-4.07947445387054e-05,0.000113522172404353,0,2.3987427613957e-05,-4.00585888267503e-05,-1.58886373675374e-06,9.02108305816538e-05,-0.000115152521060645,-0.00018428292695199,-1.99948063357753e-05,-3.64512068864736e-05,-0.000147689301466873,-2.08318731285857e-05,-2.97029915704285e-06,0.000172437443388401,5.25918467131573e-05,-0.000114260416606031,3.92133379807692e-05,0
2016-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-18,1.48344636215314e-05,0,1.56363350105416e-05,-0.000131965353726242,3.28878447922187e-05,0,9.04296621506105e-05,-1.77160300694114e-05,4.84912348960339e-05,9.71798027657466e-06,8.58881195974993e-05,4.34827307964466e-06,6.47320686496986e-05,-3.75541051208225e-05,9.53724591721134e-05,-0.000112243220482101,-3.04062486292104e-06,0.000189487295892549,7.47645493752701e-05,-1.7531678960951e-06,1.62945807587302e-05,-3.73283049399483e-05,1.27397746067997e-05,-7.49293269836292e-05,-5.71618881570197e-05,-1.18763835155629e-05,-0.000103933042078697,-2.33394014946069e-05,0.000109915355537122,4.17521178832235e-06,5.35128932568353e-05,4.97876174912188e-05,-4.75985240337709e-05,2.39093961458109e-05,1.08489134926334e-05,7.0940050336361e-05,2.68899007844899e-05,1.37320742274932e-05,6.37277779663497e-05,1.25651945120122e-05,9.4111637424957e-05,7.87414942975073e-05,-1.23064329435234e-05,-0.000171987301155671,-0.000124355548316615,-6.90248327890283e-05,-5.73052162308515e-05,1.05926391466124e-05,6.84299840345031e-05,-1.13437118278344e-05,-2.92649254162778e-05,-0.000273189701708578,6.16847676235197e-05,9.94946174386281e-05,3.85735589264457e-05,0.000106768606250168,0.000171965315141443,0.000442105771092289,8.71667162586033e-05,0.000181121990684819,6.86400470984849e-05,0.000113184577785462,0,0.000149310801887242,9.80766825739148e-05,4.0387177317369e-05,3.71697421681795e-05,5.49052867747477e-05,-0.000227587129441772,0,1.51415459457612e-05,9.09904846465782e-06,0.000119963893632786,0.000146247727727428,0,7.34063977751682e-06,2.93520354380416e-05,0.0001468336922564,3.04439844264251e-05,2.55992251966935e-05,1.48634727979443e-05,-9.80084570104879e-05,4.82815620484371e-06,-1.84169072294559e-06,9.76094657235201e-05,1.25945443411411e-05
2016-07-19,1.79691805807479e-05,0,-6.79453551651742e-05,0,-1.46637874227434e-05,0,-6.41816731453428e-05,6.74103393757989e-05,-4.60437905414126e-05,-5.27580893066493e-05,8.45716994233491e-06,-5.21365420851743e-06,-4.66336083198072e-05,8.74441595586213e-06,-6.84732695615706e-06,4.05434821265851e-05,-6.0856373519069e-05,-1.93088996771096e-05,3.69702929792438e-05,-1.69408323219355e-05,2.4772893601452e-05,-2.93509107902669e-05,6.29968619671376e-06,2.16006274533142e-05,-2.62389232801983e-05,2.58742330680924e-05,0.000179378552886011,0.000249652741170108,8.51460990351818e-06,-1.09150650572013e-06,-1.88825496749569e-05,2.47519131489119e-05,-5.22117143182764e-05,-4.32227766919379e-05,-3.67484109397403e-05,-3.17183878907768e-05,2.07664580315862e-05,6.75332656474082e-05,-0.000126380267171733,-0.000125387541218387,-0.000195415037307303,0.000214976090727568,-8.83342308741601e-05,-9.15805396519216e-05,-0.000142188020723171,7.66210903037463e-05,-0.000296474903416558,1.66559854503033e-05,5.52160763395083e-06,1.62204477538193e-05,-7.62627135787075e-05,0.000190594828737422,-4.60944932086914e-05,0.000149598898566416,2.26288107965358e-05,-5.7776983288117e-05,-4.84365368859503e-05,2.68321327285321e-05,-8.60022995465674e-06,0.000341065171960303,-9.28492141972982e-05,1.1144978067618e-05,0,7.20168616780172e-05,-9.7185954413981e-05,-2.68521721897934e-05,-0.000125718750095304,-5.59489051275348e-06,-4.82276482493689e-05,0,-7.18715558504023e-06,1.35270690327196e-05,0.000104384542007402,0.000287583340772358,6.65624493521754e-05,-0.000165000052312542,6.51647031839884e-05,3.57110542120795e-05,8.06877240054885e-05,0,7.25607354559863e-05,-2.01530641769057e-06,6.0272280015912e-06,8.67037755649423e-05,6.1796180276962e-05,0
2016-07-20,4.21478578531752e-05,0,5.33094983202199e-05,0.000235899117566779,4.97425675667972e-05,0,9.70715649223622e-05,6.86425751715648e-05,5.90106027725364e-05,-0.000344068958104956,0.000111890183625568,4.52134930541921e-05,0.000410851452926902,2.03577573630573e-05,0.000123289018951155,1.06997846715364e-05,0.000197473886299404,0.000127430856685381,1.5324368792456e-05,1.87618022913603e-05,5.43456129215751e-05,0.000123437990343423,2.61125100115885e-06,1.15649377073054e-05,2.50368241093836e-05,5.89886598455113e-06,-8.12668758932047e-05,0.000196803751578871,4.81716191063256e-05,8.74923146237718e-07,7.58523819315422e-05,6.17157160885984e-05,8.31529770935438e-05,8.25955210589687e-05,0.000199205144869625,2.73774396248384e-06,2.47021301222993e-06,0.000158291108640411,8.56922427969937e-05,0.000105010413246013,0.000275251575850648,0.00015810319996948,9.97337094203209e-05,-0.000235136077659735,2.57108398454307e-06,2.46191335698848e-05,0.000239154381305303,4.65201711978308e-05,-3.3039982235631e-05,7.93756925095865e-05,0.00018283094660944,0.000173596673452078,0.000849591917527088,0.000270182347521014,0.000517582893429939,0.00032883318549667,0.000127671218817132,0.000576698734496797,0.000219555833735733,-2.86955091517365e-05,0.000127724952961711,0.000147450465225535,0,7.62373029967282e-05,0.000230097620206511,0.000197274151988184,9.60079058789625e-05,3.69239937553922e-05,5.34642863570187e-05,0,7.21279582175963e-06,7.41629897208785e-06,7.93907181210543e-05,-6.75753856283253e-05,-1.39428475574639e-05,-0.000193291340609307,3.1635722820343e-05,1.06403508581339e-05,4.13512179666504e-05,0,7.99904756861701e-05,6.54642896487157e-05,3.00963037356388e-05,0.000116596889911261,0.000187967891029253,6.27152961698622e-06
