date,ABC,AC,DH,GJ,IB,JR,MC
CCH LN Equity,0,0,0,0,0,0,0
CCL LN Equity,0,0,0,0,0,0,0
CDI FP Equity,0,0,0,0,0,0,0
CERV IM Equity,0,0,0,0.0133381165054264,0,0,0
CEZ CK Equity,0,0,0,0,0,0,0
CFR SE Equity,0,0,0,0,0,0,0
CGG FP Equity,0.00444729284759025,0,0,0,0,0,0
CHR DC Equity,0,0,0,0,0,0,0
CINE LN Equity,0,0,0,0,0,0,0
CLN SE Equity,0,0,0,0,0,0,0
CLNX SQ Equity,0,0,0,0,0,0,0
CMBN SE Equity,0,0,0,0,0,0,0
CNA LN Equity,0,0,0,0,0,0,0
CNHI IM Equity,0,0,0,0,0,0,0
CNP FP Equity,0,0,0,0,0,0,0
CO FP Equity,0,0,0,0,0,0,0
COA LN Equity,0,0,0,0,0,0,0.00132421536849922
COB LN Equity,0,0,0,0,0,0,0
COFB BB Equity,0,0,0,0,0,0,0
COL SQ Equity,0,0,0,0,0,0,0
COLOB DC Equity,0,0,0,0,0,0,0
COLR BB Equity,-0.000946931023757574,0,0,0,0,0,0
CON GY Equity,0,0,0.0114720016570232,0,0,0,0
COV FP Equity,0,0,0,0,0,0,0
CPG LN Equity,0,0,0,0,0,0,0
CPI LN Equity,0,0,0,0,0,0,0
CPR IM Equity,0,0,0,0,0,0,0
CRDA LN Equity,0,-0.00275862163841793,0,0,0,0,-0.00393722551951576
CRH ID Equity,0.00584133308743892,0,0,0,0,0,0
CRH LN Equity,0,0,0,0,0,0,0
CS FP Equity,0,0,0,0,0,0,0
CSGN SE Equity,0,0,0,0,0,0,0
CSP LN Equity,0,0,0,0,0,0,0.00899241714542172
CTEC LN Equity,0,0,0,0,0,0,0
CYBG LN Equity,0,0,0,0,0,0,0
DAI GY Equity,0,0,0.00105006229933653,0,0,0,0
DANSKE DC Equity,0,0,0,0,0,0.00385540803657819,0
DAX Index,-0.00156659372411679,-0.00456923169534064,0,0,0,0,0
DB1 GY Equity,0,0,0,0,0,0,0
DBK GY Equity,0,0,0,0,0,0,0
DC/ LN Equity,0,0,0,0,0,0,0
DCC LN Equity,0,0,0,0,0,0,0
DEC FP Equity,0,0,0,0,0,0,0
DG FP Equity,0,0,0,0,0,0,0
DGE LN Equity,0,0,0,0,0,0,0
DHER GY Equity,0,0,0,0,0,0,0
DKSH SE Equity,0,0,0,0,0,0,0
DLG LN Equity,0,0,0,0,0,0,0
DLN LN Equity,0,0,0,0,0,0,0.00301052856532717
DMGT LN Equity,0,0,0,0,0,0,0
DMP GY Equity,0.00534511709651651,0,0,0,0,0,0
DNB NO Equity,0,0,0,0,0,-0.00606994342360442,0
DOKA SE Equity,0,0,0,0,0,0,0
DOM SS Equity,0,0,0,0,0,0,0
DPH LN Equity,0,0,0,0,0,0,0.00203195684416481
DPW GY Equity,0,0,0,0,0,0,0
DRI GY Equity,0,0,0,0,0,0,0
DSM NA Equity,0.00578391880947985,0,0,0,0,0,0
DSV DC Equity,0,0,0,0,0,0,0
DSY FP Equity,0,0,0,0,0,0,0
DTE GY Equity,0,0,0,0,0,0,0
DUE GY Equity,0,0,0,0,0,0,0
DUFN SE Equity,0,0,0,0,0,0,0
DWNI GY Equity,0,0,0,0,0,0,0
EBS AV Equity,0.00552333807992853,0,0,0,0,0,0
ECM LN Equity,0,0,0,0,0,0,0
EDEN FP Equity,0,0,0,0,0,0,0
EDF FP Equity,0,0,0,0,0,0,0
EDP PL Equity,0,0,0,0,0,0,0
EI FP Equity,0,0,0,0.0138033004308086,0,0,0
EKTAB SS Equity,0,0,0,0,0,0,0
EL US Equity,0,0,0,0,0,0,0.00195790444109417
ELE SQ Equity,0,0,0,0,0,0,0
ELIS FP Equity,0,0,0,0,0,0,0
ELISA FH Equity,0,0,0,0,0,0,0
ELTA LN Equity,0,0,0,0,0,0,0.00677975541309206
ELUXB SS Equity,0,0,0,0,0,0,0
EMG LN Equity,0,0,0,0,0,0,0
EMSN SE Equity,0,0,0,0,0,0,0
EN FP Equity,0,0,0,0,0,0,0
ENEL IM Equity,0,0,0,0,0,0,0
ENG SM Equity,0,0,-0.00467537836763193,0,0,0,0
ENG SQ Equity,0,0,0,0,0,0,0
ENGI FP Equity,0,0,0,0,0,0,0
ENI IM Equity,0,0,-0.00648277650158031,0,0,0,0
ENX FP Equity,0,0,0,0,0,0,0
EO FP Equity,0,0,-0.00113058716816874,0,0,0,0
EOAN GY Equity,0,0,0,0,0,0,0
EPIA SS Equity,0,0,0,0,0,0,0
EQNR NO Equity,-0.0043604217322518,0,0,0,0,0,0
ERF FP Equity,0,0,0,0.0145253966101194,0,0,0
ERICB SS Equity,0,0,0,0,0,0,0
ESL LN Equity,0,0,0,0,0,0,0.00150063078355599
ESSITYB SS Equity,0,0,0,0,0,0,0
ETL FP Equity,0,0,0,0,0,0,0
EVK GY Equity,0,0,0,0,0,0,0
EVR LN Equity,0,0,0,0,0,0,0
EXO IM Equity,0.00760722373478714,0,0,0,0,0,0
EXPN LN Equity,-0.00241186532487936,0,0,0,0,0,0
EZJ LN Equity,0,0,0,0,0,0,0
F3BANK Index,0,0,0,0,0,0,-0.00288792356909716
F3MNG Index,0,0,0,0,0,0,-0.00524701414400042
F3REITS Index,0,0.00394007244304679,0,0,0,0,0
F3RETG Index,0,0,0,0,0,0,-0.00292380523310918
FABG SS Equity,0,0,0,0,0,0,0
FBK IM Equity,0,0,0,0,0,0,0
FCA IM Equity,-0.00149000386744566,0,0,0,0,0,0
FDP LN Equity,0,0,0,0,0,0,0.00276411410338138
FER SQ Equity,0,0,0,0,0,0,0
FERG LN Equity,0,0.00865733297941624,0,0,0,0,0
FGR FP Equity,0,0,0,0,0,0,0
FHZN SE Equity,0,0,0,0,0,0,0
FI/N SE Equity,0,0,0,0,0,0,0
FLS DC Equity,0,-0.00365292827745031,0,0,0,0,0
FME GY Equity,0,0,0,0,0,0,0
FNTN GY Equity,0,0,0,0,0,0,0
FORTUM FH Equity,0.00194896973767832,0,0,0,0,0,0
FP FP Equity,0,0,0,0,0,0,0
FPE3 GY Equity,0,0,0,0,0,0,0
FR FP Equity,-0.00194939257318102,0,-0.00467552061714603,0,0,0,0
FRA GY Equity,0,0,0,0,0,0,0
FRE GY Equity,0,0,0,0,0,0,0
FRES LN Equity,0,0,0,0,0,0,0
FTI FP Equity,0,0,0,0,0,0,0
FTSEMIB Index,-0.0069484394114454,0,0,-0.0109058287451163,0,-0.00404942164375626,0
G IM Equity,0,0,0,0,0,0,0
G1A GY Equity,0,0,0,0,0,0,0
G24 GY Equity,0,0,0,0,0,0,0
GALP PL Equity,0,0,0,0,0,0,0
GAM SE Equity,0,0,0,0,0,0,0
GBLB BB Equity,0,0,0,0,0,0,0
GEBN SE Equity,0,0,0,0,0,0,0
GEN DC Equity,0,0,0,0,0,0,0
GET FP Equity,0,0,0,0,0,0,0
GETIB SS Equity,0,0,0,0,0,0,0
