date,time,bar,moves,edge,open,close,day
2018-06-20,05:55:00,1,0,0,0,0,0
2018-06-20,06:05:00,2,23,1,1,0,1
2018-06-20,06:15:00,3,24,0,1,0,1
2018-06-20,06:25:00,4,23,0,1,0,1
2018-06-20,06:35:00,5,23,0,1,0,1
2018-06-20,06:45:00,6,22,0,1,0,1
2018-06-20,06:55:00,7,24.5,0,1,0,1
2018-06-20,07:05:00,8,27,0,1,0,1
2018-06-20,07:15:00,9,25,0,1,0,1
2018-06-20,07:25:00,10,23.5,0,1,0,1
2018-06-20,07:35:00,11,23.5,0,1,0,1
2018-06-20,07:45:00,12,24,0,1,0,1
2018-06-20,07:55:00,13,26,0,1,0,1
2018-06-20,08:05:00,14,27.5,0,1,0,1
2018-06-20,08:15:00,15,24.5,0,1,0,1
2018-06-20,08:25:00,16,22.5,0,1,0,1
2018-06-20,08:35:00,17,23,0,1,0,1
2018-06-20,08:45:00,18,23,0,1,0,1
2018-06-20,08:55:00,19,25,0,1,0,1
2018-06-20,09:05:00,20,27.5,0,1,0,1
2018-06-20,09:15:00,21,25,0,1,0,1
2018-06-20,09:25:00,22,22.5,0,1,0,1
2018-06-20,09:35:00,23,22.5,0,1,0,1
2018-06-20,09:45:00,24,22.5,0,1,0,1
2018-06-20,09:55:00,25,25.5,0,1,0,1
2018-06-20,10:05:00,26,27,0,1,0,1
2018-06-20,10:15:00,27,24,0,1,0,1
2018-06-20,10:25:00,28,22,0,1,0,1
2018-06-20,10:35:00,29,22,0,1,0,1
2018-06-20,10:45:00,30,22,0,1,0,1
2018-06-20,10:55:00,31,24.5,0,1,0,1
2018-06-20,11:05:00,32,27,0,1,0,1
2018-06-20,11:15:00,33,24.5,0,1,0,1
2018-06-20,11:25:00,34,22,0,1,0,1
2018-06-20,11:35:00,35,21,0,1,0,1
2018-06-20,11:45:00,36,20,0,1,0,1
2018-06-20,11:55:00,37,24,0,1,0,1
2018-06-20,12:05:00,38,27,0,1,0,1
2018-06-20,12:15:00,39,24.5,0,1,0,1
2018-06-20,12:25:00,40,23,0,1,0,1
2018-06-20,12:35:00,41,23,0,1,0,1
2018-06-20,12:45:00,42,23,0,1,0,1
2018-06-20,12:55:00,43,26,0,1,0,1
2018-06-20,13:05:00,44,29.5,0,1,0,1
2018-06-20,13:15:00,45,29.5,0,1,0,1
2018-06-20,13:25:00,46,26,0,1,0,1
2018-06-20,13:35:00,47,26,0,1,0,1
2018-06-20,13:45:00,48,26.5,0,1,0,1
2018-06-20,13:55:00,49,26.5,0,1,0,1
2018-06-20,14:05:00,50,29.5,0,1,0,1
2018-06-20,14:15:00,51,27,0,1,0,1
2018-06-20,14:25:00,52,24,0,1,0,1
2018-06-20,14:35:00,53,24,0,1,0,1
2018-06-20,14:45:00,54,24,0,1,0,1
2018-06-20,14:55:00,55,27,0,1,0,1
2018-06-20,15:05:00,56,30,0,1,0,1
2018-06-20,15:15:00,57,27.5,0,1,0,1
2018-06-20,15:25:00,58,27,0,1,0,1
2018-06-20,15:35:00,59,29,0,1,0,1
2018-06-20,15:45:00,60,26.5,0,1,0,1
2018-06-20,15:55:00,61,27,0,1,0,1
2018-06-20,16:05:00,62,29.5,0,1,0,1
2018-06-20,16:15:00,63,27.5,0,1,0,1
2018-06-20,16:25:00,64,25.5,0,1,0,1
2018-06-20,16:35:00,65,24.5,0,1,0,1
2018-06-20,16:45:00,66,24,0,1,0,1
2018-06-20,16:55:00,67,26.5,0,1,0,1
2018-06-20,17:05:00,68,29.5,0,1,0,1
2018-06-20,17:15:00,69,27,0,1,0,1
2018-06-20,17:25:00,70,24,0,1,0,1
2018-06-20,17:35:00,71,25,0,1,0,1
2018-06-20,17:45:00,72,24,0,1,0,1
2018-06-20,17:55:00,73,25,0,1,0,1
2018-06-20,18:05:00,74,28,0,1,0,1
2018-06-20,18:15:00,75,26.5,0,1,0,1
2018-06-20,18:25:00,76,23,0,1,0,1
2018-06-20,18:35:00,77,21,0,1,0,1
2018-06-20,18:45:00,78,21,0,1,0,1
2018-06-20,18:55:00,79,25,0,1,0,1
2018-06-20,19:05:00,80,29,0,1,0,1
2018-06-20,19:15:00,81,25.5,0,1,0,1
2018-06-20,19:25:00,82,22,0,1,0,1
2018-06-20,19:35:00,83,21.5,0,1,0,1
2018-06-20,19:45:00,84,21,0,1,0,1
2018-06-20,19:55:00,85,25.5,0,1,0,1
2018-06-20,20:05:00,86,30,0,1,0,1
2018-06-20,20:15:00,87,26,0,1,0,1
2018-06-20,20:25:00,88,21,0,1,0,1
2018-06-20,20:35:00,89,21,0,1,0,1
2018-06-20,20:45:00,90,22,0,1,0,1
2018-06-20,20:55:00,91,21,0,1,0,1
2018-06-20,21:05:00,92,21.5,0,1,0,1
2018-06-20,21:15:00,93,20.5,0,1,0,1
2018-06-20,21:25:00,94,17.5,0,1,0,1
2018-06-20,21:35:00,95,17.5,0,1,0,1
2018-06-20,21:45:00,96,18,0,1,0,1
2018-06-20,21:55:00,97,18,0,1,0,1
2018-06-20,22:05:00,98,19,0,1,0,1
2018-06-20,22:15:00,99,19,0,1,0,1
2018-06-20,22:25:00,100,24,0,1,0,1
2018-06-20,22:35:00,101,30,0,1,0,1
2018-06-20,22:45:00,102,25,0,1,0,1
2018-06-20,22:55:00,103,23.5,0,1,0,1
2018-06-20,23:05:00,104,27.5,0,1,0,1
2018-06-20,23:15:00,105,24,0,1,0,1
