date,ABC1,ABC11,ABC23,ABC24,ABC27,ABC28,ABC29,ABC32,ABC33,ABC34,ABC35,ABC36,ABC37,ABC38,ABC5,ABC6,ABC7,ABC8,ABC9,AC101,AC102,AC104,AC106,AC107,AC108,AC111,AC53,AC57,AC67,AC71,AC94,AC95,AC96,AC98,AC99,DH16,DH32,DH38,DH42,DH48,DH51,DH52,DH56,DH58,DH59,DH61,GJ13,GJ15,GJ16,GJ17,GJ18,GJ19,GJ22,GJ4,GJ7,GJ9,IB113,JR10,JR14,JR15,JR16,JR17,JR18,JR22,JR28,JR32,JR33,JR5,MC110,MC114,MC122,MC127,MC129,MC130,MC132,MC133,MC140,MC143,MC145,MC148,MC149,MC151,MC152,MC53,MC79,MC89
2016-07-11,5.79222206494623e-05,-0.000118034657917609,-0.000103977890640684,0.000220262328950032,-3.22681039680354e-05,-2.91506268358101e-05,7.23305045042887e-06,-0.000105801197378194,0.000140678217489996,3.27583190506067e-05,3.33986748061827e-05,2.46064375271493e-06,7.47221042558267e-05,-0.000159476073759165,9.61502805418766e-05,2.12441432566609e-05,-0.000106913383748127,-0.000169577163285358,0.000239034790901515,-4.78104433773348e-05,-7.0881562747135e-05,8.15308239260103e-05,3.34690066829337e-05,6.97608197328774e-05,-2.54320044417092e-05,-1.08769921215256e-05,-6.59730725204406e-05,-3.97537575216957e-05,-0.000329213730821607,-5.92296655209511e-06,0.000104568123592885,8.59498870486629e-05,8.24515616326921e-05,-4.62404149928491e-05,0.00011277844383414,9.00842524797168e-05,-1.81594132650925e-05,0.000126535774839521,-0.000139473905009468,-4.59518089508184e-05,-5.30540892820185e-05,-5.06057709804666e-05,-7.21776620195728e-06,5.71785119527149e-05,0.000195660232202068,6.5237905871107e-05,7.53456054884255e-05,-4.7841819293434e-05,3.55422213446721e-05,0.000140937099471132,7.58766525933333e-05,-0.00054102979870924,-0.000102689360353137,0.000254127239509885,8.00833218760436e-05,0.000201637116465386,2.61574817386864e-05,0.000974583342988251,-0.000118190452275222,9.73746980999196e-05,-4.62915527655548e-05,3.48143586837106e-05,-0.00012124062068486,-4.84140927061128e-05,-1.3083254508777e-05,-9.58394981808162e-05,-0.000162266570175036,-2.81958264822712e-05,0.000141030699921341,-3.53035037835672e-05,-8.0975001169459e-05,-6.67212785752446e-05,0.000128912435031194,-1.56654447863571e-05,-0.00015312368664377,-9.67335655462439e-06,-2.90367989844403e-05,0.000138551807390962,3.50333733463796e-05,-2.62028106389304e-05,-3.20017234726434e-05,0.000203092098259774,1.92580575078441e-05,0.000156244807789306,0.000245097494023479,-3.2753513298663e-05
2016-07-12,-1.60771136129274e-05,-6.41068107170845e-05,-0.000135224645449569,0.000107906828117225,-2.19320736432025e-05,-5.37569780924171e-06,8.03645059217954e-06,-0.000126401797106958,-9.5383500757334e-05,0.000174966393028283,-2.01138803661484e-05,6.80054302063167e-06,-3.34269572332769e-05,-2.74735171304739e-05,-4.47862340961033e-05,0.000148887009234248,-5.10535096193674e-05,-2.04637355072724e-05,5.69072554681049e-05,-1.00961654190111e-05,3.29678559045533e-05,-1.51990196815444e-05,2.71987168387857e-05,-4.21930335007939e-05,-8.05355707948241e-05,9.75659177948781e-06,8.0749018138685e-05,-0.000116304070906183,-1.92729188690081e-06,-4.94942730623673e-06,0.000113547345526173,-2.02407466076428e-05,-0.000163437424831125,-9.36765587891327e-05,8.62615767332453e-05,-2.70340387262974e-05,-5.60614712232007e-05,2.06490470741505e-05,0.000161388155279426,-7.10094426910192e-06,-6.80986885752116e-05,0.000168228706109047,0.000190013494805951,-2.48681724661619e-05,6.00128484668635e-05,-5.77307233847777e-05,-3.625424563492e-05,-8.05915218691275e-05,4.27132215913326e-05,4.16764304416812e-05,1.64912814207916e-05,-0.000128853156714016,-2.97576160346933e-05,3.84862609357833e-07,2.97604703327001e-05,-0.000374603132627208,-8.19132415424682e-05,0.000460057378008799,0.000542846606136917,0.000232324327248031,0.000236075792182846,0.00017624027958716,5.01653795060192e-05,7.6588226142659e-05,7.54274058996487e-05,0.000349061925809929,0.000110996786493999,-5.067376098243e-05,-6.32764176927057e-05,-8.75107799502476e-06,-3.27017677644286e-05,-4.61955336343522e-06,0.000110783997907244,5.82207736078453e-05,-5.9177226634452e-05,0.000201077388558334,5.83593879593191e-05,-4.77023852141512e-05,0.000124395415964975,1.65003039306451e-05,-5.86854217583486e-07,5.83261425568394e-05,1.90185691547861e-05,7.74060150969341e-05,-0.000132367279734303,-6.0401098980244e-06
2016-07-13,2.25462337915606e-05,-2.68977757537825e-06,0.000115670503232173,-0.000155443322069752,0.000107144963655713,2.9750999325956e-06,-7.01818711030421e-05,2.95332685116286e-05,8.36955110969691e-05,8.07808383079472e-05,-4.41509954218248e-06,4.82135800091197e-06,-4.00660609465774e-05,0.000130136709329265,-0.000202937411824133,8.82490460961283e-06,-0.000108692502971164,-8.7418881829538e-06,-6.27003535327433e-05,-2.72184046979256e-05,3.12046924684851e-05,-1.90593597972698e-05,-1.18397986518277e-05,-6.05783237187241e-05,4.93506430010438e-05,6.08072221299501e-06,-5.55010409712739e-05,-7.90563947277799e-05,4.17772403277189e-05,-3.26938612030912e-06,4.37913084272139e-05,-1.152714229348e-05,0.000119000393979894,-6.38567431947064e-07,5.67673419558805e-05,5.10823457805483e-05,2.72110078107311e-05,0.000197725847960827,5.94160511330284e-05,1.23150529097804e-06,-8.82933340484429e-05,0.000944997001556285,-8.21289762773854e-05,-0.000185318795626206,-2.70012212254739e-05,0.000120757930540234,-0.000111741738029561,5.84202314199224e-05,-7.80052190251006e-05,-8.37539214467861e-05,9.04393664878317e-06,0.000290756355578747,0.000307212785398336,6.1129049607785e-05,-2.184630060991e-05,-7.12019562674973e-05,0.000252400068164023,-0.000500849922638972,3.09406196488262e-05,0.00140266668461783,-9.21583502559415e-05,2.76508887453487e-05,-3.3455778676514e-05,4.98051823466055e-05,6.0499685614528e-05,0.000121725731963406,-6.63960272047457e-05,-2.68120420551295e-05,0.000362601843573912,2.23095473076621e-06,1.65474512257767e-05,-2.10573966287919e-05,-0.000136597258408382,5.55499628275277e-05,0.000108993330393652,-4.77243210329214e-05,-1.8641906457749e-05,6.32352340992773e-05,-8.03606579252409e-05,2.67424713042302e-06,9.18116088933996e-05,-0.000101498089867114,-5.4009840801161e-07,-0.000136411092657191,0.000168690573681068,3.34280891302877e-06
2016-07-14,-4.17150137881115e-06,-6.47195482117627e-05,-8.79397937204092e-05,4.50280835239861e-05,-3.92562176175992e-05,-2.12851227561413e-06,1.21019565789725e-05,-7.15419676360977e-05,-2.06050388005977e-06,0.000121618927942258,2.72621741839965e-05,-4.55930730987479e-05,-2.47500410371923e-06,-2.70894620679172e-05,0.000534073462650955,7.36965936650345e-05,8.73542606091644e-05,-8.46935373190729e-05,-3.93861456711902e-05,2.44207859487558e-05,-3.19162887679565e-05,-7.58809488228871e-06,-8.67587968707934e-06,5.5564180558304e-05,-6.30479811309144e-05,-9.8059346979223e-06,-2.68547583652892e-07,-6.95329154195992e-05,-5.97862869934559e-05,-4.45783562543055e-06,0.000229766030425995,3.70463260121392e-05,-5.18643591655164e-05,-5.40899268882395e-05,-0.00018521537322406,-2.42203929263434e-05,-1.5577536091704e-05,-0.000102178830814837,-2.07418919654518e-05,-2.33718187510233e-05,7.57831144516116e-05,3.65633829895602e-05,2.0869460113228e-05,-1.40780144986834e-05,7.95949371088247e-05,-8.95469610314621e-05,0.000151346577679849,-4.20062048111811e-05,4.34826601173628e-05,3.17950446775005e-06,-4.59335376961603e-05,0.000290682135198795,0.000277634866026354,8.92387314734515e-05,-0.000271855309939388,0.00042649910731305,-0.00011862335776228,0.000530462929858621,-1.70918159240291e-05,3.67305448959247e-05,8.26792399632567e-05,6.507829970825e-05,-1.25763978516123e-05,1.57764086106836e-05,0.000104799364146849,0.000120449711710603,4.74047219722143e-05,-4.4946723112791e-05,0.000184850637193272,-3.60046287267887e-06,-2.31433622888409e-05,-1.96603496071189e-05,0.000120754132979321,5.35745760649598e-05,6.56672816234518e-07,-8.75255345022105e-05,-3.31243005539389e-05,-6.54325691120552e-05,1.75788044153245e-05,-1.91326946122618e-06,-4.22153024361953e-05,-1.70629627504285e-05,7.88908492920449e-06,0.00013342192405919,-0.000406337598356885,-2.39158682653273e-06
2016-07-15,4.8586577980116e-07,-3.71476865203324e-05,4.37544586122044e-05,3.56674643258764e-05,-5.90917912590862e-05,3.22934385487139e-06,-0.000123107031601789,3.23705737615639e-05,0.00010813779210997,-2.24903518169341e-05,-5.37493428220799e-06,-3.00274882004352e-05,-2.89067591472027e-05,-1.11993804670217e-05,2.20678001085229e-05,-7.86293606137565e-05,3.28345332360243e-05,-0.000112124500481239,-4.01475282643362e-05,1.62143128378902e-05,-1.83923963526719e-05,3.10117938120693e-05,-7.33418804395123e-06,1.85689513483735e-05,2.28026280171657e-05,-1.57815243510384e-05,-1.09405428909427e-05,-4.17882082726923e-05,-8.43904716752971e-05,2.86712427962385e-06,1.22642496960284e-05,7.50006174458865e-05,5.22208531167605e-05,-5.09743625669837e-05,7.28151917486867e-05,-2.12367486503222e-05,-3.30119103250119e-05,5.26962736290136e-05,-1.68516732893183e-05,6.88316653277995e-05,1.75616703194902e-05,-0.000187017413371324,-7.92234581681941e-06,0.000155159772032309,6.25675671115915e-05,-4.36777386014283e-05,1.11587882950362e-05,-1.74459197325567e-05,3.87221502124119e-05,-0.000128527441166596,2.45191389759818e-05,9.54568300012666e-06,-0.000217052257267383,-3.23749667986666e-05,-0.000108799532086444,2.27126156949596e-05,-1.50186534000324e-05,0.000114331454095899,4.18844650575141e-05,-0.000405207055804567,-7.02539785888338e-05,-6.23211175745139e-05,-1.43808640484505e-05,-8.00382019723902e-05,-9.21396226150508e-05,6.24316616786141e-05,-0.000105492698536232,-2.4393205008621e-06,0.000138297973508638,2.70966161631524e-06,2.39808161621801e-05,-1.12655831569833e-05,1.16511837150902e-05,0.000107083245104296,-8.96443330834025e-05,-9.38001617765845e-05,-1.32821252891325e-05,-1.90863473383846e-05,-0.000174088741665235,-1.79290921354429e-05,1.19064534328141e-05,0.000159866351260432,2.16143619400006e-05,-0.000105966734524256,4.45845929132835e-05,3.62847624142853e-06
2016-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-18,2.10773205734294e-05,1.28788495266656e-06,3.39113455508108e-05,-0.000130776665717503,2.43992107650117e-05,-7.48726049003745e-06,5.33020838136392e-05,9.20768531231904e-06,-1.98364412466478e-06,0.000133734119124366,3.6110980101313e-05,1.30843002339785e-05,3.13182165817237e-05,-3.85695722985723e-05,9.36282927301315e-05,-0.000102970595421572,-3.34604557986644e-05,0.000123027343228172,3.451907182831e-06,-1.37036918819017e-05,1.92667235075255e-06,-3.23684351389272e-05,1.79748699863825e-05,-9.80591170824208e-06,-6.5034938320291e-05,-2.31392303023146e-05,-5.24193280233555e-05,-7.26949334875174e-05,-3.63449591907815e-05,1.41773441709432e-06,2.5078128699165e-05,2.81750462526217e-05,-6.42885186490985e-05,-1.48609835448143e-05,-2.10597552493634e-05,7.47285638757088e-05,2.81930798738737e-05,2.50769087166998e-05,3.60729475166605e-05,1.20854427054908e-06,-2.89340843415376e-05,0.000187086545683647,3.81815071854569e-05,-0.000103517027569899,-0.000116701498244189,-4.76700747860584e-05,-0.000115278967764844,3.207976578059e-05,6.84299840345031e-05,2.93024764899395e-05,-2.26630494092052e-05,-0.000482457852292783,-1.36318038814073e-05,4.48531212904853e-05,6.69630756098423e-05,9.73789272354181e-05,0.000100692641764179,0.000293475984058423,0.000125588928702813,0.00024318617954261,5.00213724529819e-05,7.96721097576387e-05,-9.13206203670152e-06,0.000102184625617159,1.27016756274396e-06,-5.98741981674536e-05,-4.96176790430625e-05,1.44149092282111e-05,-0.000242943049463099,-8.29833869996542e-06,6.64565039190473e-06,2.88077267729718e-05,5.77188543009797e-05,0.000107128894830042,-5.91409452190599e-05,-1.53778787959349e-05,1.37886288014469e-05,0.000107866363536439,4.21925807744078e-05,1.88691034078958e-05,-1.9628401369644e-05,-0.000161812807516014,1.19647014650045e-05,-2.72410920983824e-05,-0.000123516654088522,4.18189210514399e-06
2016-07-19,7.4611098436684e-05,3.84279056427989e-05,-1.43082836349038e-05,6.27275653141502e-06,-2.70521011639856e-05,-2.04108804970877e-06,2.68841613694844e-05,5.96084287384842e-05,-9.7554290555683e-06,-5.27580893066493e-05,6.53052280329125e-05,-0.00020256378343972,3.37210750869886e-05,3.51493145578212e-06,8.04329126608105e-05,3.33912943361052e-05,-3.3935037649069e-05,-3.74264228149739e-05,6.74774731518119e-06,-8.99086901973371e-06,2.37076550417777e-05,5.65785659629156e-06,-2.58496492239911e-06,1.31363499254327e-05,-1.70707861700211e-05,1.95030958172852e-05,3.17246041901787e-05,8.72759602529658e-05,-1.67474294853046e-05,-1.29594622929398e-06,-2.66340975491317e-05,0.000122512288104081,-4.3819524913728e-05,0.000100080139575612,-4.56746445927894e-05,-3.55142864467705e-05,2.8509766341762e-05,0.000102484190958196,-8.29608689557043e-05,-0.000114871074614947,-6.68297161379136e-06,0.000200885564551403,-6.15810515364315e-05,-0.000100042172217353,-0.000123246627388473,7.37515694302938e-05,-0.000227495965150689,5.69586599182968e-05,5.52160763395083e-06,4.57811295204567e-05,1.4021608526904e-05,0.000208923198944971,9.49514079848256e-05,0.000179414807211827,7.16356159498578e-05,1.26451734135765e-06,-6.26135222398093e-05,-1.19641160795422e-05,-6.66426966014684e-05,0.000378008182417783,-6.87021540154437e-05,3.43118835914516e-05,-2.8908036166915e-05,6.64071127058173e-05,-9.25782803056707e-05,-6.63098699421988e-05,-1.23221225587842e-05,1.02933465025659e-05,-4.62956953966394e-06,-2.45450181411222e-06,-4.42412483580573e-06,0.000101989647363455,8.73645525563331e-05,0.00027691922905197,5.04401471168353e-05,-0.000120612564016842,6.09219920694252e-05,2.49396272986062e-05,5.41436868065043e-05,-1.83468588737867e-06,6.31579702831706e-05,1.02377593661663e-05,1.48239839011059e-05,7.91910818792008e-05,6.43935087001062e-06,-2.29335735922334e-06
2016-07-20,1.98343935200667e-05,-2.52458653753549e-05,-4.72660806402123e-05,0.000117957898694836,2.17555349694146e-05,-5.94306319368873e-06,-4.43789334754521e-06,5.54978454610507e-05,-2.3278898295866e-06,-0.000303897579121726,6.46163814951523e-05,-1.15431133300826e-05,0.000245272894344979,-2.08968361024207e-05,1.97833171497932e-05,-3.77297416639742e-06,0.000173417268112251,7.46778238425264e-05,-4.65248515345938e-05,-3.69749095345655e-05,3.70638560823235e-05,2.48730662887087e-05,-1.74866366729315e-05,-4.19145757862483e-05,3.76561057314464e-06,6.19923691025148e-07,-5.56658377223254e-05,-3.4196328072722e-05,-0.000115436917962698,-2.44177766129542e-06,5.3282096993713e-05,5.38809046539821e-05,2.12466204355335e-05,8.00281271238375e-05,0.000186449751353015,-2.43701904724072e-05,-1.54476576198403e-05,6.97465693217536e-05,5.45992063426779e-05,5.50734419861759e-05,-1.57643093442044e-05,-0.000101674931921363,-1.93781109449832e-05,-0.000198336172834096,-6.14229733461897e-05,4.33150450996481e-05,4.45703271251085e-05,-2.63884864335045e-05,-3.3039982235631e-05,-3.56291258055794e-05,-3.52070116508134e-05,-4.57246800895542e-05,0.000430373173023853,0.000171778927412897,0.00032282411236857,0.000268745914929533,4.27425945904667e-05,0.000378492868722255,9.65929108948368e-05,-0.00012985723948389,9.3317518504698e-05,9.50703511650545e-05,-6.71371156276327e-05,4.60398212358577e-06,4.43371971055566e-05,-1.62986815155751e-05,-6.41063795649776e-05,-3.76504505506231e-05,-8.02076740506121e-05,-1.00031674668971e-05,-9.21403892196518e-05,9.52773622082873e-05,3.85808921255004e-05,-9.86262214155754e-05,-6.08863691885108e-05,-0.000249679597938586,1.92821644963833e-05,-2.18013385141532e-05,5.08867021723302e-06,-5.34207927522583e-06,5.26123194006378e-05,-2.33601181682901e-06,2.40337809980931e-05,8.59793802260402e-05,4.54494100845907e-05,-4.06069477046062e-07
