date,V1
GET FP Equity,0
GETIB SS Equity,0
GFC FP Equity,0
GFS LN Equity,0
GIVN SE Equity,0
GJF NO Equity,0
GLB ID Equity,0
GLE FP Equity,0
GLEN LN Equity,0
GLJ GY Equity,0
GLO LN Equity,0.00413509342092363
GLPG NA Equity,0
GN DC Equity,0
GPOR LN Equity,0
GRF SQ Equity,0
GSK LN Equity,0
GTO NA Equity,0
GVC LN Equity,0
GXI GY Equity,0
HAS LN Equity,0.00413220728904668
HEI GY Equity,0.00632734132547211
HEIA NA Equity,0.00479366266380112
HEIO NA Equity,0
HELN SE Equity,0
HEN GY Equity,0.00589262855507006
HEN3 GY Equity,0
HEXAB SS Equity,0
HL/ LN Equity,0
HLE GY Equity,0
HLMA LN Equity,0
HMB SS Equity,0
HMSO LN Equity,0
HNR1 GY Equity,0
HO FP Equity,0
HOT GY Equity,0
HPOLB SS Equity,0
HSBA LN Equity,0
HSV LN Equity,0
HSX LN Equity,0
HUH1V FH Equity,0
HUSQB SS Equity,0
HWDN LN Equity,0
IAG LN Equity,0
IBE SQ Equity,0
IBEX Index,0
IBST LN Equity,0.00282254185197475
ICA SS Equity,0
ICAD FP Equity,0
ICP LN Equity,0
IFX GY Equity,0
IG IM Equity,0
IGG LN Equity,0
IGY GY Equity,0
IHG LN Equity,0
III LN Equity,0.00189234746189266
ILD FP Equity,0
IMB LN Equity,0
IMCD NA Equity,0
IMI LN Equity,0
INCH LN Equity,0
INDUA SS Equity,0
INDV LN Equity,0
INF LN Equity,0
ING FP Equity,0
INGA NA Equity,0
INTU LN Equity,0
INVEB SS Equity,0
INVP LN Equity,0
IPN FP Equity,0
ISAT LN Equity,0
ISP IM Equity,0
ISS DC Equity,0
ITRK LN Equity,0
ITV LN Equity,0
ITX SM Equity,0.00724627147577136
ITX SQ Equity,0
IWG LN Equity,0
JDW LN Equity,0
JE/ LN Equity,0
JMAT LN Equity,0.00653660459073459
JMT PL Equity,0
JUP LN Equity,0
JYSK DC Equity,0
KAZ LN Equity,0.00205837353097098
KBC BB Equity,0
KCR FH Equity,0
KER FP Equity,0
KESKOB FH Equity,0
KGF LN Equity,0
KGX GY Equity,0
KINDSDB SS Equity,0
KINVB SS Equity,0
KN FP Equity,0
KNEBV FH Equity,0
KNIN SE Equity,0
KOMB CK Equity,0
KPN NA Equity,0
KSP ID Equity,0
KYG ID Equity,0
LAND LN Equity,0.00799405879772599
LBK SM Equity,0.0140716124838685
LDO IM Equity,0
LEG GY Equity,0
LGEN LN Equity,0
LHA GY Equity,0
LHN FP Equity,0
LHN SE Equity,0
LI FP Equity,0
LIGHT NA Equity,0
LINU GY Equity,0.00506794157122428
LISN SE Equity,0
LLOY LN Equity,0
LOGN SE Equity,0
LONN SE Equity,0
LOOMB SS Equity,0
LR FP Equity,0
LSE LN Equity,0.00688463484358923
LUN DC Equity,0
LUNDB SS Equity,0
LUPE SS Equity,0
LUX IM Equity,0
LXS GY Equity,0
MAERSKB DC Equity,0
MAN GY Equity,0
MAP SM Equity,0.00522962590812261
MAP SQ Equity,0
MB IM Equity,0
MC FP Equity,0
MCRO LN Equity,0
MCX Index,0
MDAX Index,0
MDC LN Equity,0
MERL LN Equity,0
METSO FH Equity,0.00369082498616294
MF FP Equity,0.0146318094141131
MGGT LN Equity,0
MHG NO Equity,0
MKS LN Equity,0
ML FP Equity,0
MMB FP Equity,0
MNDI LN Equity,0.00859236786286178
MONC IM Equity,0.00418548009110258
MONY LN Equity,0
MOR GY Equity,0
MRK GY Equity,0
MRL SM Equity,0.0100773185080628
MRL SQ Equity,0
MRO LN Equity,0.00797261352918733
MRW LN Equity,0
MT NA Equity,0
MTRO LN Equity,0
MTX GY Equity,0
MUV2 GY Equity,0
NDA GY Equity,0
NDA SS Equity,0.00624979941012336
NDX Index,0
NESN SE Equity,0
NESTE FH Equity,0.00448465811573185
NG/ LN Equity,0
NHY NO Equity,0
NIBEB SS Equity,0
NK FP Equity,0
NMC LN Equity,0
NN NA Equity,0
NOKIA FH Equity,0
NOVN SE Equity,0
NOVOB DC Equity,0
NRE1V FH Equity,0
NTGY SQ Equity,0
NXG LN Equity,0.0093124192496917
NXI FP Equity,0.00382044363439961
NXT LN Equity,0
NZYMB DC Equity,0
O2D GY Equity,0
OCDO LN Equity,0
OERL SE Equity,0
OMU LN Equity,0
OMV AV Equity,0
OR FP Equity,0
ORA FP Equity,0
ORK NO Equity,0
ORNBV FH Equity,0
ORP FP Equity,0
ORSTED DC Equity,0
OSR GY Equity,0
PAH3 GY Equity,0
PARG SE Equity,0
PGHN SE Equity,0
PHIA NA Equity,0
PHNX LN Equity,0
PIRC IM Equity,0
PLUS LN Equity,0.00516875660320267
PNDORA DC Equity,0
PNN LN Equity,0
POLY LN Equity,0
POM FP Equity,0
PPB ID Equity,0
PPB LN Equity,0
PROX BB Equity,0
PRSM LN Equity,0.0033566198591398
PRU LN Equity,0.0127270672102433
PRY IM Equity,0
PSM GY Equity,0
PSN LN Equity,0
PSON LN Equity,0
PSPN SE Equity,0
PST IM Equity,0
PTEC LN Equity,0
PUB FP Equity,0
QIA GY Equity,0
QLT LN Equity,0
RACE IM Equity,0
RAND NA Equity,0
RB/ LN Equity,0
RBI AV Equity,0
RBREW DC Equity,0
RBS LN Equity,0.0172492273468925
RCO FP Equity,0
RDSA LN Equity,0.0149656854387134
RDSA NA Equity,0
RDSB LN Equity,0
REC IM Equity,0.00333182947871921
REE SQ Equity,0
REL LN Equity,0
REN NA Equity,0
REP SQ Equity,0
RF FP Equity,0
RHIM LN Equity,0.00225613670970781
RHM GY Equity,0
RI FP Equity,0
RIO LN Equity,0
RMG LN Equity,0
RMS FP Equity,0
RMV LN Equity,0
RNO FP Equity,0
ROCKB DC Equity,0
ROG SE Equity,0
ROR LN Equity,0
RPC LN Equity,0
RR/ LN Equity,0.00423487162519065
RRS LN Equity,0
RRTL GY Equity,0
RSA LN Equity,0.0101996187703192
RTO LN Equity,0
RUI FP Equity,0
RUKM150 Index,0
RWE GY Equity,0
RXL FP Equity,0
RYA ID Equity,0
SAABB SS Equity,0
SAB SM Equity,0.012017821307369
SAB SQ Equity,0
SAF FP Equity,0
SAMPO FH Equity,0
SAN FP Equity,0
SAN SM Equity,0.007768134372248
SAN SQ Equity,0
SAND SS Equity,0
SAP GY Equity,0
SBMO NA Equity,0
SBRY LN Equity,0
SCAB SS Equity,0
SCHA NO Equity,0
SCHP SE Equity,0
SCMN SE Equity,0
SCR FP Equity,0
SDF GY Equity,0
SDR LN Equity,0
SDRC LN Equity,0.0121319734518469
SEBA SS Equity,0
SECUB SS Equity,0
SESG FP Equity,0
SEV FP Equity,0
SGE LN Equity,0
SGO FP Equity,0
SGRE SQ Equity,0
