Manager,Ticker,Outright,LookThrough,Sector,SuperSector,Industry,Return,SuperSectorIndex,SuperSectorIndexReturn
DH,GXI GR Equity,0,-0.1,Health Care Equipment & Services,Health Care,Health Care,1.535088,SXDP Index,0.9666694
DH,HAS LN Equity,0,-0.3,Support Services,Industrial Goods & Services,Industrials,0.5482456,SXNP Index,0.650126
DH,HEIA NA Equity,0,-5.1,Beverages,Food & Beverage,Consumer Goods,1.799065,SX3P Index,1.030116
DH,HEIO NA Equity,0,-2,Beverages,Food & Beverage,Consumer Goods,1.216545,SX3P Index,1.030116
DH,HEN GY Equity,59.6,0,Household Goods & Home Construction,Personal & Household Goods,Consumer Goods,1.161563,SXQP Index,1.072337
DH,HLE GR Equity,0,-0.5,Automobiles & Parts,Automobiles & Parts,Consumer Goods,0.9745763,SXAP Index,0.5500247
DH,HLMA LN Equity,0,-0.6,Electronic & Electrical Equipment,Industrial Goods & Services,Industrials,-0.2227172,SXNP Index,0.650126
DH,HO FP Equity,0,-1.2,Aerospace & Defense,Industrial Goods & Services,Industrials,0.3671409,SXNP Index,0.650126
DH,HSV LN Equity,0,-0.3,Support Services,Industrial Goods & Services,Industrials,2.802691,SXNP Index,0.650126
DH,HUH1V FH Equity,0,-0.3,General Industrials,Industrial Goods & Services,Industrials,0.4523425,SXNP Index,0.650126
DH,HWDN LN Equity,0,-0.4,Support Services,Industrial Goods & Services,Industrials,0.7183365,SXNP Index,0.650126
DH,IAG LN Equity,0,-2.2,Travel & Leisure,Travel & Leisure,Consumer Services,1.530925,SXTP Index,0.6633038
DH,IBE SM Equity,0,-6.4,Electricity,Utilities,Utilities,2.083962,SX6P Index,1.683118
DH,IDR SM Equity,0,-0.3,Software & Computer Services,Technology,Technology,0.09756097,SX8P Index,0.2669742
DH,IMI LN Equity,0,-0.4,Industrial Engineering,Industrial Goods & Services,Industrials,-0.270514,SXNP Index,0.650126
